Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원),총자산(천원)
A000640,동아쏘시오홀딩스,12,2022,Annual,"998,660,790","732,791,277","1,731,452,067"
A000640,동아쏘시오홀딩스,12,2023,Annual,"1,027,309,302","929,797,049","1,957,106,350"
A000640,동아쏘시오홀딩스,12,2024,Annual,,,
A049770,동원F&B,12,2011,Annual,"385,854,167","524,299,207","910,153,374"
A049770,동원F&B,12,2012,Annual,"397,620,617","569,666,455","967,287,072"
A049770,동원F&B,12,2013,Annual,"427,056,471","487,875,072","914,931,543"
A049770,동원F&B,12,2014,Annual,"478,641,038","418,451,432","897,092,470"
A049770,동원F&B,12,2015,Annual,"522,191,654","430,238,781","952,430,434"
A049770,동원F&B,12,2016,Annual,"551,917,803","533,494,216","1,085,412,018"
A049770,동원F&B,12,2017,Annual,"593,249,304","775,886,932","1,369,136,235"
A049770,동원F&B,12,2018,Annual,"632,494,679","771,112,716","1,403,607,395"
A049770,동원F&B,12,2019,Annual,"681,209,948","892,304,611","1,573,514,559"
A049770,동원F&B,12,2020,Annual,"746,945,394","936,989,278","1,683,934,673"
A049770,동원F&B,12,2021,Annual,"798,821,029","1,136,863,167","1,935,684,196"
A049770,동원F&B,12,2022,Annual,"883,805,291","1,187,905,520","2,071,710,811"
A049770,동원F&B,12,2023,Annual,"973,199,406","1,232,947,132","2,206,146,539"
A049770,동원F&B,12,2024,Annual,,,
A000670,영풍,12,2011,Annual,"1,918,043,663","704,280,087","2,622,323,750"
A000670,영풍,12,2012,Annual,"2,526,859,768","1,528,608,525","4,055,468,293"
A000670,영풍,12,2013,Annual,"2,816,473,689","1,122,911,830","3,939,385,519"
A000670,영풍,12,2014,Annual,"2,912,242,486","983,114,674","3,895,357,159"
A000670,영풍,12,2015,Annual,"3,003,441,922","984,446,438","3,987,888,361"
A000670,영풍,12,2016,Annual,"3,142,310,136","992,592,213","4,134,902,349"
A000670,영풍,12,2017,Annual,"3,469,510,849","1,334,228,010","4,803,738,859"
A000670,영풍,12,2018,Annual,"3,507,370,869","1,214,182,394","4,721,553,263"
A000670,영풍,12,2019,Annual,"3,698,450,518","1,134,239,778","4,832,690,296"
A000670,영풍,12,2020,Annual,"3,712,136,489","1,288,719,463","5,000,855,951"
A000670,영풍,12,2021,Annual,"3,902,290,708","1,618,710,698","5,521,001,406"
A000670,영풍,12,2022,Annual,"4,403,386,627","1,468,547,025","5,871,933,652"
A000670,영풍,12,2023,Annual,"4,282,768,795","1,285,348,175","5,568,116,970"
A000670,영풍,12,2024,Annual,,,
A003530,한화투자증권,3,2011,Annual,"927,115,907","6,317,390,850","7,244,506,757"
A003530,한화투자증권,3,2012,Annual,"825,201,345","6,949,136,306","7,774,337,651"
A003530,한화투자증권,12,2013,Annual,"759,747,265","7,161,696,206","7,921,443,471"
A003530,한화투자증권,12,2014,Annual,"769,603,349","6,061,845,339","6,831,448,688"
A003530,한화투자증권,12,2015,Annual,"782,613,228","6,879,663,532","7,662,276,760"
A003530,한화투자증권,12,2016,Annual,"815,070,240","6,120,585,164","6,935,655,404"
A003530,한화투자증권,12,2017,Annual,"877,168,969","6,028,118,063","6,905,287,032"
A003530,한화투자증권,12,2018,Annual,"950,317,052","6,393,815,740","7,344,132,792"
A003530,한화투자증권,12,2019,Annual,"1,155,379,495","8,722,880,934","9,878,260,429"
A003530,한화투자증권,12,2020,Annual,"1,252,185,289","10,606,835,890","11,859,021,179"
